date,halving_era,open,high,low,close,daily_change,daily_pct_change,daily_range,ma_7,ma_30,ma_200,volatility_30d,macd,macd_signal,rsi_14,is_interpolated,move_class,rsi_zone,range_band,trend,close_minmax,close_zscore,pct_zscore,range_pct
2011-02-01,Genesis Era (50 BTC/block),0.52,0.85,0.52,0.7,0.1799999999999999,34.615384615384606,0.3299999999999999,0.4890142857142857,0.38481,0.17836595,9.753646457198794,0.0612580877158863,0.0410557673681716,85.71676177828621,False,Large Rise,Overbought,High,Above 200-MA,1.5977973404982751e-07,-0.69784075569336,5.095572508109201,63.46153846153844
2011-02-02,Genesis Era (50 BTC/block),0.7,0.76,0.69,0.716,0.016,2.285714285714288,0.07,0.5317285714285714,0.3988433333333333,0.1816984,9.71125885389048,0.0757783953207261,0.0480002929586825,86.26330477987933,False,Rise,Overbought,High,Above 200-MA,2.876035212896902e-07,-0.6978402300972616,0.2892163895422985,10.000000000000002
2011-02-03,Genesis Era (50 BTC/block),0.716,0.75,0.6501,0.69,-0.026,-3.63128491620112,0.0998999999999999,0.5701285714285714,0.41188,0.1847191999999999,9.789639135955866,0.0842170591670168,0.0552436462003494,80.84937786128859,False,Fall,Overbought,High,Above 200-MA,7.988986702491332e-08,-0.6978410841909215,-0.5904463174288184,13.952513966480435
2011-02-04,Genesis Era (50 BTC/block),0.69,0.88,0.67,0.811,0.1210000000000001,17.536231884057987,0.2099999999999999,0.6222714285714286,0.4289466666666666,0.1883702,10.108481737392434,0.099521231021894,0.0640991631646583,85.43175026080614,False,Large Rise,Overbought,High,Above 200-MA,1.0465572580263752e-06,-0.6978371093704274,2.5564655703309267,30.43478260869564
2011-02-05,Genesis Era (50 BTC/block),0.811,0.92,0.811,0.92,0.1089999999999999,13.440197287299627,0.1089999999999999,0.6909857142857143,0.4496799999999999,0.1925965,10.22540353805692,0.119072690668628,0.0750938686654523,88.17638001457493,False,Large Rise,Overbought,High,Above 200-MA,1.917356808597939e-06,-0.6978335287470072,1.9475202657472406,13.440197287299618
2011-02-06,Genesis Era (50 BTC/block),0.92,0.92,0.83,0.8997,-0.0202999999999999,-2.2065217391304333,0.09,0.7509571428571429,0.4690033333333333,0.19669895,10.274822624710383,0.1314144588742613,0.0863579867072141,84.96586221890578,False,Fall,Overbought,High,Above 200-MA,1.7551803785373635e-06,-0.697834195597057,-0.37863100524674875,9.782608695652172
2011-02-07,Genesis Era (50 BTC/block),0.8997,0.9,0.83,0.89,-0.0097,-1.078137156830059,0.07,0.8038142857142857,0.4879066666666666,0.20089645,10.301513414414902,0.1388125455439255,0.0968488984745564,83.40319718288004,False,Fall,Overbought,Medium,Above 200-MA,1.6776872075231965e-06,-0.6978345142396917,-0.2108774189610681,7.780371234856063
2011-02-08,Genesis Era (50 BTC/block),0.89,0.918,0.8617,0.918,0.028,3.14606741573034,0.0563,0.8349571428571428,0.50774,0.20517335,10.27690264417846,0.1452604761763527,0.1065312140149156,84.30077208628984,False,Rise,Overbought,Medium,Above 200-MA,1.9013788351929561e-06,-0.6978335944465195,0.41712253545761335,6.325842696629214
2011-02-09,Genesis Era (50 BTC/block),0.918,1.09,0.82,1.09,0.172,18.7363834422658,0.2700000000000001,0.8883857142857143,0.5331866666666667,0.21035065,10.604793225724295,0.1623776813592931,0.1177005074837911,88.437473023314,False,Large Rise,Overbought,High,Above 200-MA,3.2754845480214796e-06,-0.6978279442884618,2.7348885398873426,29.41176470588236
2011-02-10,Genesis Era (50 BTC/block),1.09,1.1,0.8,0.9803,-0.1097000000000001,-10.064220183486247,0.3,0.9298571428571428,0.5549766666666667,0.21499965,10.909649875633669,0.1651871420426874,0.1271978343955704,74.8846042482599,False,Large Fall,Overbought,High,Above 200-MA,2.3990927067581703e-06,-0.6978315479067114,-1.5468117077026875,27.52293577981651
